@T,table
Created,2021-01-25 17:58
Author,HortonMachine library
@H,timestamp,value_1
ID,,1
Type,Date,Double
Format,yyyy-MM-dd HH:mm,
,2015-01-15 00:00,0.0
,2015-01-15 01:00,0.0
,2015-01-15 02:00,0.0
,2015-01-15 03:00,0.0
,2015-01-15 04:00,0.0
,2015-01-15 05:00,0.0
,2015-01-15 06:00,0.0
,2015-01-15 07:00,0.0
,2015-01-15 08:00,0.0049221187997924385
,2015-01-15 09:00,0.011594646222409194
,2015-01-15 10:00,0.014778987835678875
,2015-01-15 11:00,0.016162687200300244
,2015-01-15 12:00,0.016456403656203027
,2015-01-15 13:00,0.014927322965473111
,2015-01-15 14:00,0.012528719295791881
,2015-01-15 15:00,0.007295558277809685
,2015-01-15 16:00,5.083959156708482E-5
,2015-01-15 17:00,0.0
,2015-01-15 18:00,0.0
,2015-01-15 19:00,0.0
,2015-01-15 20:00,0.0
,2015-01-15 21:00,0.0
,2015-01-15 22:00,0.0
,2015-01-15 23:00,0.0
,2015-01-16 00:00,0.0
,2015-01-16 01:00,0.0
,2015-01-16 02:00,0.0
,2015-01-16 03:00,0.0
,2015-01-16 04:00,0.0
,2015-01-16 05:00,0.0
,2015-01-16 06:00,0.0
,2015-01-16 07:00,0.0
,2015-01-16 08:00,0.005007455510813884
,2015-01-16 09:00,0.01122904500525659
,2015-01-16 10:00,0.01335462260870471
,2015-01-16 11:00,0.015369682589517902
,2015-01-16 12:00,0.015322949739451825
,2015-01-16 13:00,0.013883917017007716
,2015-01-16 14:00,0.010316838699913181
,2015-01-16 15:00,0.005945344173652851
,2015-01-16 16:00,5.038773832919219E-5
,2015-01-16 17:00,0.0
,2015-01-16 18:00,0.0
,2015-01-16 19:00,0.0
,2015-01-16 20:00,0.0
,2015-01-16 21:00,0.0
,2015-01-16 22:00,0.0
,2015-01-16 23:00,0.0
,2015-01-17 00:00,0.0
,2015-01-17 01:00,0.0
,2015-01-17 02:00,0.0
,2015-01-17 03:00,0.0
,2015-01-17 04:00,0.0
,2015-01-17 05:00,0.0
,2015-01-17 06:00,0.0
,2015-01-17 07:00,0.0
,2015-01-17 08:00,0.004242770052538469
,2015-01-17 09:00,0.008344346313720354
,2015-01-17 10:00,0.012774371883745044
,2015-01-17 11:00,0.014760296711447615
,2015-01-17 12:00,0.01446354945103352
,2015-01-17 13:00,0.014372654432026035
,2015-01-17 14:00,0.012289294843537493
,2015-01-17 15:00,0.007431896925128806
,2015-01-17 16:00,7.20823096295596E-5
,2015-01-17 17:00,0.0
,2015-01-17 18:00,0.0
,2015-01-17 19:00,0.0
,2015-01-17 20:00,0.0
,2015-01-17 21:00,0.0
,2015-01-17 22:00,0.0
,2015-01-17 23:00,0.0
,2015-01-18 00:00,0.0
,2015-01-18 01:00,0.0
,2015-01-18 02:00,0.0
,2015-01-18 03:00,0.0
,2015-01-18 04:00,0.0
,2015-01-18 05:00,0.0
,2015-01-18 06:00,0.0
,2015-01-18 07:00,0.0
,2015-01-18 08:00,0.005408269374655861
,2015-01-18 09:00,0.009666777394011547
,2015-01-18 10:00,0.011340953672600127
,2015-01-18 11:00,0.013621381111919958
,2015-01-18 12:00,0.01260980306888451
,2015-01-18 13:00,0.01209487714185802
,2015-01-18 14:00,0.010198153368422494
,2015-01-18 15:00,0.006082116453298439
,2015-01-18 16:00,6.679887807723863E-5
,2015-01-18 17:00,0.0
,2015-01-18 18:00,0.0
,2015-01-18 19:00,0.0
,2015-01-18 20:00,0.0
,2015-01-18 21:00,0.0
,2015-01-18 22:00,0.0
,2015-01-18 23:00,0.0
,2015-01-19 00:00,0.0
,2015-01-19 01:00,0.0
,2015-01-19 02:00,0.0
,2015-01-19 03:00,0.0
,2015-01-19 04:00,0.0
,2015-01-19 05:00,0.0
,2015-01-19 06:00,0.0
,2015-01-19 07:00,0.0
,2015-01-19 08:00,0.004574434489002721
,2015-01-19 09:00,0.008639939404564426
,2015-01-19 10:00,0.011000169493682939
,2015-01-19 11:00,0.012282493613971442
,2015-01-19 12:00,0.011984198801462181
,2015-01-19 13:00,0.010606657186816384
,2015-01-19 14:00,0.008701992878015315
,2015-01-19 15:00,0.005326283560479384
,2015-01-19 16:00,6.930907421127428E-5
,2015-01-19 17:00,0.0
,2015-01-19 18:00,0.0
,2015-01-19 19:00,0.0
,2015-01-19 20:00,0.0
,2015-01-19 21:00,0.0
,2015-01-19 22:00,0.0
,2015-01-19 23:00,0.0
,2015-01-20 00:00,0.0
,2015-01-20 01:00,0.0
,2015-01-20 02:00,0.0
,2015-01-20 03:00,0.0
,2015-01-20 04:00,0.0
,2015-01-20 05:00,0.0
,2015-01-20 06:00,0.0
,2015-01-20 07:00,0.0
,2015-01-20 08:00,0.004432138582831594
,2015-01-20 09:00,0.00798172688535683
,2015-01-20 10:00,0.009606129299169118
,2015-01-20 11:00,0.010772551635974684
,2015-01-20 12:00,0.011135585594068931
,2015-01-20 13:00,0.010937241126461775
,2015-01-20 14:00,0.009182405787458561
,2015-01-20 15:00,0.00646340269049332
,2015-01-20 16:00,9.596345884543755E-5
,2015-01-20 17:00,0.0
,2015-01-20 18:00,0.0
,2015-01-20 19:00,0.0
,2015-01-20 20:00,0.0
,2015-01-20 21:00,0.0
,2015-01-20 22:00,0.0
,2015-01-20 23:00,0.0
,2015-01-21 00:00,0.0
,2015-01-21 01:00,0.0
,2015-01-21 02:00,0.0
,2015-01-21 03:00,0.0
,2015-01-21 04:00,0.0
,2015-01-21 05:00,0.0
,2015-01-21 06:00,0.0
,2015-01-21 07:00,0.0
,2015-01-21 08:00,0.004320694385293203
,2015-01-21 09:00,0.009443331508669614
,2015-01-21 10:00,0.012512517723418014
,2015-01-21 11:00,0.01421159155632494
,2015-01-21 12:00,0.014155050994759806
,2015-01-21 13:00,0.012657145614292526
,2015-01-21 14:00,0.010848104743746563
,2015-01-21 15:00,0.007365507301772464
,2015-01-21 16:00,1.1907666753231981E-4
,2015-01-21 17:00,0.0
,2015-01-21 18:00,0.0
,2015-01-21 19:00,0.0
,2015-01-21 20:00,0.0
,2015-01-21 21:00,0.0
,2015-01-21 22:00,0.0
,2015-01-21 23:00,0.0
